origin,question,options,correct_answer,is_official
"CA DMV Official","What color curb does not allow vehicles to stop or park?","['Red', 'Yellow', 'Green']","Red",True
"CA DMV Official","You are required to notify DMV by filing a Report of Traffic Accident Occuring in California (SR-1) form if:","['You were involved in a collision with an injury', 'You were involved in a minor fender bender with no damage', 'You witness a collision but are not involved']","You were involved in a collision with an injury",True
"CA DMV Official","What is indicated by two sets of double yellow lines spaced 2 feet or more apart?","['Barrier', 'Two-way left turn lane', 'Passing zone']","Barrier",True
"CA DMV Official","What should you do to make a right turn at an upcoming intersection?","['Wait until the bicycle lane ends, then make the turn', 'Merge into the bicycle lane before making the turn', 'Signal and turn from the shoulder']","Merge into the bicycle lane before making the turn",True
"CA DMV Official","A highway has a posted speed limit of 65 mph. What does this mean?","['You must drive 65 mph only if driving conditions are ideal', 'You must always drive exactly 65 mph regardless of conditions', 'You may drive up to 70 mph when passing']","You must drive 65 mph only if driving conditions are ideal",True
"CA DMV Official","When is parking in a crosshatched (diagonal lines) area allowed?","['It is never allowed to park in a crosshatched (diagonal lines) area', 'Only for emergency vehicles', 'For up to 5 minutes while loading or unloading']","It is never allowed to park in a crosshatched (diagonal lines) area",True
"CA DMV Official","What should you do if your cell phone rings and you do not have a hands-free device?","['Do not answer the phone and let it go to voice mail', 'Pull over to the shoulder and answer the call', 'Use the speakerphone while keeping both hands on the wheel']","Do not answer the phone and let it go to voice mail",True
"CA DMV Official","If a traffic signal is green, but traffic is blocking the intersection, what should you do?","['Wait and do not enter the intersection until your vehicle can get completely across', 'Enter slowly and stop in the middle if needed', 'Honk at the blocking vehicles to clear the way']","Wait and do not enter the intersection until your vehicle can get completely across",True
"CA DMV Official","In which lane should you end your turn when making a right turn?","['The lane closest to the right edge of the road', 'Any available lane', 'The center lane']","The lane closest to the right edge of the road",True
"CA DMV Official","When is it required for you to obey directions from a crossing guard?","['At all times', 'Only during school hours', 'Only when children are present']","At all times",True
"CA DMV Official","Which of the following is illegal while driving?","['Wearing a headset or ear plugs that covers both ears', 'Using a hands-free device to make calls', 'Listening to music through the car speakers']","Wearing a headset or ear plugs that covers both ears",True
"CA DMV Official","What should you do when traffic is slow and heavy, and you must cross railroad tracks before reaching the upcoming intersection?","['Wait until you can completely cross the tracks before proceeding', 'Stop on the tracks if traffic ahead stops', 'Drive around the crossing gates if they are broken']","Wait until you can completely cross the tracks before proceeding",True
"CA DMV Official","Which of the following should you do if you are being followed by a tailgater?","['Change lanes and allow the tailgater to pass', 'Brake suddenly to teach them a lesson', 'Speed up to increase the distance']","Change lanes and allow the tailgater to pass",True
"CA DMV Official","When you are driving the speed limit, you can be given a speeding ticket:","['If road or weather conditions require a slower speed', 'If you are driving in the left lane', 'If other drivers are going faster than you']","If road or weather conditions require a slower speed",True
"CA DMV Official","Which lights should be used if a driver is having trouble seeing other vehicles because of dust or smoke blowing across the roadway?","['Headlights', 'High-beam headlights', 'Hazard lights only']","Headlights",True
"CA DMV Official","What does a flashing yellow traffic signal light direct a driver to do?","['Stop and proceed when the traffic allows you to proceed safely', 'Slow down and proceed with caution', 'Speed up to clear the intersection quickly']","Slow down and proceed with caution",True
"CA DMV Official","What should you do if a pedestrian is still in the crosswalk after the 'DON'T WALK' sign begins to flash and your light has turned green?","['Wait until the pedestrian is out of your path before proceeding', 'Wait until the pedestrian has crossed the street completely before proceeding', 'Honk to signal the pedestrian to hurry']","Wait until the pedestrian has crossed the street completely before proceeding",True
"CA DMV Official","When is it legal for a person to drive with an alcoholic beverage container that has been opened?","['If the container is in the trunk of the vehicle', 'If the driver is not drinking from it', 'If the vehicle is parked on a public street']","If the container is in the trunk of the vehicle",True
"Driving-Tests.org","On a two-lane undivided highway, the maximum speed limit for vehicles towing trailers is ______ unless otherwise posted.","['65 mph', '60 mph', '55 mph']","55 mph",False
"Driving-Tests.org","At an unmarked crosswalk, you must","['Increase your speed and cross before the pedestrians', 'Yield the right-of-way to the pedestrians', 'Stop and ask the pedestrians to cross quickly']","Yield the right-of-way to the pedestrians",False
"Driving-Tests.org","When two vehicles meet on a steep mountain road where neither can pass, which vehicle has the right-of-way?","['Both vehicles', 'The vehicle traveling uphill', 'The vehicle traveling downhill']","The vehicle traveling uphill",False
"Driving-Tests.org","If all the rear seats are already occupied by children under 7 years of age, a child under 8 years of age may","['Ride in the front seat if properly secured in a federally approved child passenger restraint system', 'Sit on the lap of an elder child, with a seat belt fastened to both', 'Ride in the front seat without a seat belt']","Ride in the front seat if properly secured in a federally approved child passenger restraint system",False
"Driving-Tests.org","When you see livestock near the roadway, you should","['Blow your horn continuously until the animals cross the road', 'Turn safely away from these animals', 'Slow down or stop']","Slow down or stop",False
"Driving-Tests.org","If you are ready to turn right at an intersection, and if there is a bicycle next to you on your right, who has the right-of-way when the light turns green?","['The bicycle', 'Whoever starts moving first', 'You']","The bicycle",False
"Driving-Tests.org","A traffic signal with a flashing yellow arrow means that you should","['Proceed with caution but turns are not permitted in the direction of the arrow', 'Stop and be prepared to obey the next signal', 'Yield and then proceed with caution']","Yield and then proceed with caution",False
"Driving-Tests.org","When you park and leave your vehicle on a highway or street, you should NOT","['stop the engine.', 'set the parking brake.', 'lower the windows.']","lower the windows.",False
"Driving-Tests.org","Before backing up your vehicle, you should look to the front, sides, and rear, and continue to look _________ while backing.","['in the side mirrors', 'to the front', 'to the rear']","to the rear",False
"Driving-Tests.org","When you turn off a high-speed, two-lane roadway, _______ if you have traffic following you.","['try to increase the speed of your vehicle', 'try not to slow down your vehicle too quickly', 'try to slow down your vehicle quickly']","try not to slow down your vehicle too quickly",False
"Driving-Tests.org","All regulatory devices on the road tell you","['to stop, proceed in a certain direction, or limit your speed.', 'how to find your way safely or provide information to make your trip more comfortable.', 'about hazardous conditions or the possibility of hazardous conditions.']","to stop, proceed in a certain direction, or limit your speed.",False
"Driving-Tests.org","_________ are the most likely places for car and motorcycle collisions to occur.","['Intersections', 'Expressways', 'Roundabouts']","Intersections",False
"Driving-Tests.org","Before reaching the crest of a hill or entering a curve, you must _________, and watch for oncoming vehicles.","['slow down, move to the right side of the road', 'speed up, turn on the headlights', 'slow down, move to the left side of the road']","slow down, move to the right side of the road",False
"Driving-Tests.org","It is unsafe for you to pass when","['the pavement markings are broken yellow lines.', 'the vehicle ahead is traveling slower than the safe speed.', 'you are moving through an intersection.']","you are moving through an intersection.",False
"Driving-Tests.org","You must use your high-beam headlights in all of the following situations, except","['in construction areas.', 'in fog, snow, or heavy rain.', 'on unfamiliar roads.']","in fog, snow, or heavy rain.",False
"Driving-Tests.org","When you approach a roundabout, you must enter to the _______ of the central island.","['center', 'left', 'right']","right",False
"Driving-Tests.org","If a tire suddenly goes flat while you're driving, you should","['move to the left side of the road.', 'increase your speed.', 'hold the steering wheel tightly and keep the vehicle straight.']","hold the steering wheel tightly and keep the vehicle straight.",False
"Driving-Tests.org","High-Occupancy Vehicle (HOV) lanes are reserved for","['farm machinery vehicles and trucks.', 'car pools and vehicles with more than one person.', 'tractor-trailers with less than three persons.']","car pools and vehicles with more than one person.",False
"Driving-Tests.org","In California, the speed limit for a blind intersection is","['25 mph.', '15 mph.', '20 mph.']","15 mph.",False
"Driving-Tests.org","Blind pedestrians may carry _________ canes or use guide dogs.","['black', 'red', 'white']","white",False
"Driving-Tests.org","A yield sign indicates that a driver must slow down and be prepared to _________ if a vehicle or pedestrian with the right-of-way is approaching from another direction.","['make a turn', 'increase speed', 'stop']","stop",False
"Driving-Tests.org","If you are approaching a stop sign, you must","['stop at the broken yellow limit line.', 'stop at the solid white limit line.', 'stop at the broken white limit line.']","stop at the solid white limit line.",False
"Driving-Tests.org","Your vehicle breaks down on a freeway. You are not able to move the vehicle off the road completely as the road shoulder is too narrow. What is the best thing to do?","['Exit on the right side of your vehicle and proceed to a safe place.', 'Leave the vehicle immediately and wave at drivers to let them know you are blocking the lane.', 'Stay inside your vehicle with the seat belt on until help arrives.']","Exit on the right side of your vehicle and proceed to a safe place.",False
"Driving-Tests.org","What is the first rule of a safe and legal turn?","['Increase speed.', 'Move into the proper lane well before the turn.', 'Reduce speed.']","Move into the proper lane well before the turn.",False
"Driving-Tests.org","If you see two solid yellow lines on a roadway, it means that","['passing is permitted during the day.', 'no passing is permitted.', 'passing is permitted at any time.']","no passing is permitted.",False
"Driving-Tests.org","When turning right into a two-way street, start in the right-hand lane and enter into","['any available lane.', 'the far left lane.', 'the lane nearest to the right edge of the road.']","the lane nearest to the right edge of the road.",False
"Driving-Tests.org","Which of the following right-of-way rules is FALSE?","['At an intersection where there is no stop sign, yield sign, or traffic signal, drivers must yield to vehicles coming from the left.', 'You must obey signals given by a law enforcement officer, even if the officer''s signals contradict the traffic signals.', 'At all times, drivers must yield the right-of-way to pedestrians in a marked or unmarked crosswalk.']","At an intersection where there is no stop sign, yield sign, or traffic signal, drivers must yield to vehicles coming from the left.",False
"Driving-Tests.org","A _________ indicates the outer edge of a roadway, and it may be crossed only by traffic moving to or from the shoulder.","['solid yellow line', 'broken white line', 'solid white line']","solid white line",False
"Driving-Tests.org","You are driving slowly on a two-lane road. If there are at least ____ vehicles behind you that are unable to pass you, you must pull over and allow them to pass.","['3', '5', '4']","5",False
"Driving-Tests.org","Flag persons are often located on highways and in work zones","['to stop, slow, or guide the traffic in work zones.', 'to slow vehicles to a lower speed limit posted ahead.', 'to report accidents to the police department and insurance companies.']","to stop, slow, or guide the traffic in work zones.",False
"Driving-Tests.org","The primary traveling aids for a blind person include","['a white cane and a trained guide dog.', 'a white cane and a wheelchair.', 'a red cane and a trained guide dog.']","a white cane and a trained guide dog.",False
"Driving-Tests.org","With any turning vehicle, the rear wheels follow a _________ than the front wheels.","['shorter path', 'longer path', 'slower path']","shorter path",False
"Driving-Tests.org","Vehicles approaching a roundabout must","['yield to the traffic in the roundabout.', 'come to a complete stop and wait for traffic in the roundabout to clear.', 'enter the roundabout to the left of the central island.']","yield to the traffic in the roundabout.",False
"Driving-Tests.org","If a pedestrian is in a marked or unmarked crosswalk, you must","['increase your speed and cross the crosswalk quickly.', 'reduce your speed and proceed with caution.', 'yield to the pedestrian.']","yield to the pedestrian.",False
"Driving-Tests.org","On a two-way roadway with a center lane, drivers from either direction can _________ from the center lane.","['park', 'make left turns and U-turns', 'make right turns']","make left turns and U-turns",False
"Driving-Tests.org","What is the correct hand signal for indicating a right turn?","['Hand and arm extended upward', 'Hand and arm extended outward', 'Hand and arm extended downward']","Hand and arm extended upward",False
"Driving-Tests.org","Car drivers should NEVER","['give a motorcycle the full lane.', 'pass a motorcycle in the same lane.', 'move to one side of your lane to give motorcyclists more room to pass.']","pass a motorcycle in the same lane.",False
"Driving-Tests.org","On two-lane highways, you are allowed to pass","['while crossing or within 100 feet of a railroad crossing.', 'when there is a broken yellow line on your side of the center dividing line.', 'when you are approaching the top of a hill or are on a curve, and there is no clear view ahead.']","when there is a broken yellow line on your side of the center dividing line.",False
"Driving-Tests.org","When you see an emergency vehicle with its lights flashing on the wrong side of the road, giving instructions through the loudspeaker, you should","['proceed slowly.', 'stop immediately on the spot.', 'obey the instructions.']","obey the instructions.",False
"Driving-Tests.org","If a California driver with a provisional driver license gets a traffic ticket but doesn't pay the fine or appear in court,","['his or her school will be notified.', 'his or her license will be suspended.', 'his or her parents will be notified.']","his or her license will be suspended.",False
"Driving-Tests.org","When you approach an intersection with a through road but without stop signs or yield signs, you must","['make a sharp turn to match the speed of traffic on the through road.', 'accelerate to merge with traffic.', 'yield to traffic and pedestrians on the through road.']","yield to traffic and pedestrians on the through road.",False
"Driving-Tests.org","What is California's minimum age requirement for an adult driver license?","['15', '21', '18']","18",False
"Driving-Tests.org","What is the minimum age requirement for a minors'' driver license in the state of CA?","['15', '17', '16']","16",False
"Driving-Tests.org","If a California driver with a provisional license has been involved in two ""at fault"" collisions within the first 12 months of holding the license, he or she must","['return his or her license to the DMV.', 'be supervised while driving for 30 days.', 'pay a fine.']","be supervised while driving for 30 days.",False
"FirstTimeDriver.com","Pedestrians at a crosswalk always have the right-of-way.","['True', 'False']","True",False
"FirstTimeDriver.com","It is permitted to use advanced technologies like self-parking and back-up cameras on a driving test.","['True', 'False']","False",False
"FirstTimeDriver.com","How many times more likely are you to survive a fatal crash by wearing a seat belt?","['1-2 times', '2-3 times', '3-4 times', '4-5 times']","3-4 times",False
"FirstTimeDriver.com","Around how many inches do airbags need to inflate?","['5 inches.', '10 inches.', '15 inches.', '20 inches.']","10 inches.",False
"FirstTimeDriver.com","Which of these is not a category of distracted driving?","['Visual', 'Audible', 'Manual', 'Cognitive']","Audible",False
"FirstTimeDriver.com","A car can become how many degrees hotter than the air outside?","['10-20 degrees', '20-30 degrees', '30-40 degrees', '40-50 degrees']","40-50 degrees",False
"FirstTimeDriver.com","If an arrow light is flashing yellow, you must come to a complete stop and wait for it to turn green.","['True', 'False']","False",False
"FirstTimeDriver.com","You must drive in a clockwise direction in a roundabout.","['True', 'False']","False",False
"FirstTimeDriver.com","If two cars face each other on a mountain road where only one car can get through, the car facing uphill has the right-of-way.","['True', 'False']","True",False
"FirstTimeDriver.com","You can never be cited for speeding if you do not go over the posted speed limit.","['True', 'False']","False",False
"FirstTimeDriver.com","When driving within 500 to 1,000 feet of children crossing the street, what is California's standard speed limit?","['15 mph', '20 mph', '25 mph', '30 mph']","25 mph",False
"FirstTimeDriver.com","How far ahead should you scan while driving to safely detect possible hazards?","['5-10 seconds', '10-15 seconds', '15-20 seconds', '20-25 seconds']","10-15 seconds",False
"FirstTimeDriver.com","On average, it takes a car moving at 55 mph at least 400 feet for the driver to react and come to a complete stop.","['True', 'False']","True",False
"FirstTimeDriver.com","A broken yellow line on the road means:","['You cannot pass, but you are free to use either lane', 'You can pass, but you must drive on the right side of the line', 'You can pass, and you are free to use both lanes', 'You cannot pass, but you are free to use both lanes']","You can pass, but you must drive on the right side of the line",False
"FirstTimeDriver.com","If you are entering a bike lane to make a right turn or park, you must enter the lane no more than 200 feet before the turn or parking spot.","['True', 'False']","True",False
"FirstTimeDriver.com","Where is it legal to make a U-turn?","['Across a double yellow line', 'On a divided highway with a center divider', 'On a one-way street', 'Both A and B are correct', 'In a residential area']","In a residential area",False
"FirstTimeDriver.com","When parking at a colored curb, white means:","['You can park for a limited time, which is determined by nearby signs', 'You cannot stop at all', 'You can park if you are disabled or driving someone who is', 'You can stop long enough to pick up or drop off passengers or mail']","You can stop long enough to pick up or drop off passengers or mail",False
"FirstTimeDriver.com","How far away must you be from the car in front of you to stop safely in an emergency?","['1 second', '3 seconds', '5 seconds', '7 seconds']","3 seconds",False
"Coastline Academy","Do not use your high beams when you are less than 300 feet behind another vehicle, or within 500 feet of an oncoming car.","['True', 'False']","True",False
"Coastline Academy","Air bags are designed to provide protection over and above what the seat belt provides.","['True', 'False']","True",False
"Coastline Academy","The heat caused by the friction of moving engine parts and the explosion of gasoline in the cylinders is removed through the vehicle's cooling system.","['True', 'False']","True",False
"Coastline Academy","The steering wheel is connected to and controls the direction of the rear wheels.","['True', 'False']","False",False
"Coastline Academy","Do not solely rely on the side view mirrors to give you the complete picture, since all cars have blind spots. The driver should also look over the appropriate shoulder before starting the maneuver.","['True', 'False']","True",False
"Coastline Academy","To get a permit you must be at least 15 1/2 years old, and your parent(s) or guardian have signed the DL 44 form.","['False', 'True']","True",False
"Coastline Academy","The written test for provisional license applicants has 46 questions; a maximum of _________ errors is allowed.","['8', '10', '5']","8",False
"Coastline Academy","If your driver's license is lost or damaged, you must go to a DMV office and pay the required fee for a duplicate.","['False', 'True']","True",False
"Coastline Academy","Your driver license will be suspended for being unable to show proof of financial responsibility (insurance) when involved in an accident.","['False', 'True']","True",False
"Coastline Academy","The court will suspend, restrict, delay, or revoke your driving privileges for one year if you are convicted of being a habitual truant from school.","['False', 'True']","True",False
"Coastline Academy","If you take a non-English or oral test, you must also complete an additional test of your ability to recognize the meaning of common traffic signs in English.","['False', 'True']","True",False
"Coastline Academy","When you apply for an original Driver License or Identification card, you must present an acceptable birth date/legal presence document and provide your social security number (SSN).","['False', 'True']","True",False
"Coastline Academy","If you are at least 18 years old, meet the application requirements, and pass the required tests, you may be issued a California instruction permit. Your accompanying driver must be _________ or older and have a valid California driver license.","['21 years of age', '25 years of age', '18 years of age']","18 years of age",False
"Coastline Academy","To determine the length of the suspension, the Hearing Officer starts out with a base point suspension period of:","['6 months', '3 months', '1 year', '2 months']","6 months",False
"Coastline Academy","The California Vehicle Code contains the laws and regulations governing the licensing process, the expiration and renewal of a driver license, and the suspension and revocation of a driver license.","['False', 'True']","True",False
"Coastline Academy","When parallel parking it is best to reverse into the parking spot at a 45 degree angle.","['True', 'False']","True",False
"Coastline Academy","You have just left a freeway and are starting to drive on an ordinary highway. You should:","['Stay twice as far behind other cars.', 'Check your tires for correct pressure.', 'Check your speedometer to keep at the lower speed limit.']","Check your speedometer to keep at the lower speed limit.",False
"Coastline Academy","When reversing along a curb you should not move faster than a normal walking pace.","['True', 'False']","True",False
"Coastline Academy","A roundabout is an intersection where traffic travels around a central island in a counterclockwise direction.","['True', 'False']","True",False
"Coastline Academy","When passing a bicyclist, pass on the left. If you are in a narrow traffic lane, wait until the traffic clears in the opposite lane before passing a bicyclist. Do not squeeze past the bicyclist.","['True', 'False. Speed up to pass the bicyclist as quickly as possible.']","True",False
"Coastline Academy","California 'Basic Speed Law' indicates that you may never drive faster than is safe for current conditions","['True', 'False. You have to go the posted speed limit.']","True",False
"Coastline Academy","An emergency vehicle has the red lights flashing, siren blaring and is coming from behind. If you are in an intersection should you","['stop where you are in the intersection until the vehicles pass', 'continue safely through the intersection then move to the right and stop when through the intersection']","continue safely through the intersection then move to the right and stop when through the intersection",False
"Coastline Academy","When you tailgate other drivers (drive close to their rear bumper):","['You help reduce traffic congestion.', 'You can frustrate the other drivers and make them angry.', 'Your actions cannot result in a traffic citation.']","You can frustrate the other drivers and make them angry.",False
"Coastline Academy","Driving faster than the posted speed limit or driving faster than safe for current conditions on any road is dangerous and illegal because:","['High speed increases your stopping distance.', 'The faster you go, the less time you have to avoid a hazard or collision.', 'The force of a 60 mph crash is not just twice as great as a 30 mph crash -- it''s four times as great!', 'All the above']","All the above",False
"Coastline Academy","When you see a yellow traffic light at an intersection, you should slow down and stop before entering the intersection, if you can do so safely.","['True', 'False']","True",False
"Coastline Academy","The average train takes over a mile to fully stop where the average car can stop in 1/10th of a mile (528 feet).","['True', 'False']","True",False
"Coastline Academy","A flashing red signal light has the same meaning as a stop sign.","['True', 'False']","True",False
"Coastline Academy","The sequence of most traffic lights in which they are lighted is red to yellow, yellow to red, and red to green.","['True', 'False. The sequence in which they are lighted is green to yellow, yellow to red, and red to green.']","False. The sequence in which they are lighted is green to yellow, yellow to red, and red to green.",False
"Coastline Academy","The shape of a diamond sign is used exclusively for:","['Warning signs', 'Yield', 'A school zone or a school crossing']","Warning signs",False
"Coastline Academy","If you need to travel over an unregulated railroad crossing, you should:","['Speed up before a train comes.', 'Slow down, listen for oncoming trains, and be prepared to stop.', 'You are not required to stop if there are no signs.']","Slow down, listen for oncoming trains, and be prepared to stop.",False
"Coastline Academy","The shape of a pentagon is used to indicate","['Warning signs', 'Yield', 'A school zone or a school crossing']","A school zone or a school crossing",False
"Coastline Academy","Regulatory signs are signs that indicate a warning of potential dangers, directions, information, and services.","['True', 'False']","False",False
"Coastline Academy","You can still get pulled over and arrested for DUI or DUID even if your Blood Alcohol Content or Delta 9 THC levels are less than the legal limit.","['False', 'True']","True",False
"Coastline Academy","If you have an Instructional Permit, you must be accompanied by a California licensed driver that is at least 25 years of age or a parent, guardian, or licensed driving instructor. In addition, ALL passengers must be wearing a seatbelt.","['False', 'True']","True",False
"Coastline Academy","If a teen is driving, only that person needs to be wearing a seatbelt.","['False', 'True']","False",False
"Coastline Academy","If you are under 18, you can not lose your license unless convicted of a DUI.","['False', 'True']","False",False
"Coastline Academy","What reasons may cause your vehicle to fail the emissions test?","['A - Your windshield being cracked', 'B - A missing gas cap', 'C - Emissions exceeded allowable limits', 'Both B and C']","Both B and C",False
"Coastline Academy","You are responsible for notifying the DMV within 5 days of the sale using a Notice of Release of Liability form if you sell or transfer a vehicle to someone else.","['False', 'True']","True",False
"Coastline Academy","As a minor, how long after getting your Graduated Driver License may you carry as many passengers as there are seat belts in the vehicle.","['1 year', 'As soon as you get it', '6 months', '3 months']","1 year",False
"Coastline Academy","What vehicle models are exempt from an emissions test?","['None of the above', '5-year-old or newer models', '2-year-old or newer models', '7-year-old or newer models']","7-year-old or newer models",False
"Coastline Academy","When purchasing from a private party, the seller provides a bill of sale, smog certification, and an endorsed Certificate of Title, and submits a Notice of Release of Liability to the DMV within 5 days. The buyer pays the use tax and is responsible for registering vehicle with the DMV within _____ days.","['14', '10', '30']","10",False
"Coastline Academy","All automobile owners are required to carry liability insurance.","['False', 'True']","True",False
"Coastline Academy","You may notice drunk drivers will often:","['Make unusually wide turns', 'Weave and drift between lanes', 'Drive really slow', 'All of the above']","All of the above",False
"Coastline Academy","A driver''s blood alcohol content (BAC) is","['Always low if they are in good physical condition', 'Lowered after drinking coffee and taking a cold shower', 'Measured by a breathalyzer test given by law enforcement']","Measured by a breathalyzer test given by law enforcement",False
"Coastline Academy","You consent to take a chemical test for the alcohol content of your blood, breath, or urine whenever you drive.","['True', 'False']","True",False
"Coastline Academy","It is a criminal offense to carry on your body or in your vehicle an illicit drug of any kind.","['True', 'False']","True",False
"Coastline Academy","Blood Alcohol Concentration (BAC) refers to the amount of alcohol contained in a person''s blood.","['True', 'False']","True",False
"Coastline Academy","If you are caught driving with a blood alcohol concentration (BAC) at/or above the legal limit:","['Your breath test result by itself cannot be used to convict you', 'You may be fined by the court', 'Your driver license will automatically be revoked.']","You may be fined by the court",False
"Coastline Academy","Only non-prescription drugs can alter your ability to drive safely.","['True', 'False']","False",False
"Coastline Academy","The best alternative to drinking and driving is to not drive.","['True. Have a designated driver or call a ride service if you need a ride somewhere.', 'False']","True. Have a designated driver or call a ride service if you need a ride somewhere.",False
"Coastline Academy","Zero tolerance laws","['Make it illegal for those over the age of 21 to have more than 2 drinks if they are driving.', 'Make it illegal for those under the age of 21 to drive after consuming any amount of alcohol.', 'Makes it illegal for drivers to speed if they have been drinking.']","Make it illegal for those under the age of 21 to drive after consuming any amount of alcohol.",False
"Coastline Academy","Zero tolerance laws have been enacted in _____ to focus on underage drivers.","['States with populations over 1 million', 'Cities with populations over 100,000', 'all 50 states and the District of Columbia']","all 50 states and the District of Columbia",False
"Coastline Academy","Always yield the right-of-way to people walking, jogging, biking, crossing the street or sometimes darting from between parked vehicles.","['False', 'True']","True",False
"Coastline Academy","Vehicle size and weight do not cause crashes, drivers do.","['False', 'True']","True",False
"Coastline Academy","When driving in parking lots, you should:","['Drive however you like, there are no rules.', 'Drive as fast as possible', 'Follow standard roadway etiquette and courtesy']","Follow standard roadway etiquette and courtesy",False
"Coastline Academy","You must report any accident in which there is an injury or death, or more than how much worth of property damage?","['$500 worth of property damage.', '$100 worth of property damage.', '$1,000 worth of property damage.', '$750 worth of property damage.']","$750 worth of property damage.",False
"Coastline Academy","Stay at least 200 feet behind any moving emergency vehicle displaying flashing warning lights and sounding a siren.","['False - Need to stay at least 300 feet behind.', 'True']","False - Need to stay at least 300 feet behind.",False
"Coastline Academy","The following actions are considered distracted driving:","['Eating and drinking (non-alcoholic beverages)', 'Personal grooming', 'Playing excessively loud music', 'Arguing with passengers', 'All of the above']","All of the above",False
"Coastline Academy","Prevention is the best safeguard for breakdowns.","['False', 'True']","True",False
"Coastline Academy","When merging onto a freeway or highway you should:","['Match the speed of traffic already on the road and look for a safe place to merge', 'Always move over to the far left lane', 'Stay in the right lane.']","Match the speed of traffic already on the road and look for a safe place to merge",False
